街道方向熵,地理区域
3.451538537,南方地区
3.504701448,南方地区
2.674479365,南方地区
3.537732753,南方地区
2.887989514,南方地区
2.758231056,南方地区
3.256952183,南方地区
3.058512144,南方地区
3.08048208,南方地区
3.481172612,南方地区
3.437837488,南方地区
3.484247894,南方地区
3.097206708,南方地区
3.410154467,南方地区
3.348269529,南方地区
2.647365535,南方地区
3.368461119,南方地区
3.25847214,南方地区
3.203503666,南方地区
3.468986179,南方地区
3.536721003,南方地区
3.461255023,南方地区
3.209196899,南方地区
3.259289533,南方地区
3.434640933,南方地区
3.249642385,南方地区
2.747548085,南方地区
3.507450882,南方地区
2.526099046,南方地区
2.813672258,南方地区
2.779067515,南方地区
2.594279789,南方地区
2.950268138,南方地区
2.978991689,南方地区
3.350496423,南方地区
3.100528357,南方地区
3.334928988,南方地区
3.559603377,南方地区
3.363061824,南方地区
3.451719709,南方地区
3.299714161,南方地区
3.449150917,南方地区
3.016825238,南方地区
3.284592262,南方地区
3.021894489,南方地区
3.355021249,南方地区
2.75687366,南方地区
3.447332661,南方地区
2.98715205,南方地区
3.485528031,南方地区
3.24588856,南方地区
3.23532836,南方地区
3.169777485,南方地区
3.317121718,南方地区
3.532008928,南方地区
3.490608757,南方地区
3.076184007,南方地区
3.563115871,南方地区
3.403232135,南方地区
3.362951354,南方地区
2.94111547,南方地区
2.996034536,南方地区
3.435091809,南方地区
3.352496584,南方地区
2.891651167,南方地区
3.413633774,南方地区
3.355418129,南方地区
3.122670004,南方地区
3.149543085,南方地区
3.349885742,南方地区
3.434687934,南方地区
3.367262826,南方地区
3.513586945,南方地区
3.266692028,南方地区
3.494272287,南方地区
3.437876023,南方地区
3.321655901,南方地区
3.141394076,南方地区
3.474390188,南方地区
3.537483411,南方地区
3.445725959,南方地区
3.121986173,南方地区
3.201669488,南方地区
3.380602267,南方地区
3.432618993,南方地区
3.436715981,南方地区
3.450084745,南方地区
3.480167454,南方地区
3.388171115,南方地区
3.385178236,南方地区
3.43382148,南方地区
3.46153158,南方地区
3.509058089,南方地区
3.512179041,南方地区
3.44307631,南方地区
3.508029947,南方地区
3.014555401,南方地区
3.550639205,南方地区
3.494750886,南方地区
3.141882579,南方地区
3.447558516,南方地区
3.182132612,南方地区
2.870942233,南方地区
3.384614872,南方地区
2.946497585,南方地区
3.381056917,南方地区
3.360683041,南方地区
3.304889302,南方地区
3.382237987,南方地区
3.470884953,南方地区
3.371097089,南方地区
3.423458674,南方地区
3.507277971,南方地区
3.29097812,南方地区
3.34520725,南方地区
3.401313968,南方地区
3.405037201,南方地区
3.472178985,南方地区
3.471781642,南方地区
3.483076312,南方地区
3.433109867,南方地区
3.418813124,南方地区
3.403988397,南方地区
2.729725214,南方地区
3.324253017,南方地区
3.506226739,南方地区
3.519286791,南方地区
3.199966357,南方地区
3.373116743,南方地区
3.450531212,南方地区
3.388586857,南方地区
3.124249299,南方地区
2.754553295,南方地区
2.879815756,南方地区
3.411703729,南方地区
3.254789289,南方地区
3.280022383,南方地区
3.25605261,南方地区
3.058005912,南方地区
3.109290481,南方地区
2.904275959,南方地区
2.892935144,南方地区
2.8430623,南方地区
3.215625511,南方地区
3.468860018,南方地区
3.390344869,南方地区
2.868230617,南方地区
3.341232443,南方地区
3.325830299,南方地区
3.337377311,南方地区
3.483344497,南方地区
3.225701736,南方地区
3.394511499,南方地区
3.455878154,南方地区
3.406914643,南方地区
2.864639837,南方地区
2.571424375,南方地区
2.54183522,南方地区
3.289781046,南方地区
2.863374011,南方地区
2.738916908,南方地区
3.359954935,南方地区
3.277738224,南方地区
3.091565516,南方地区
2.039883605,南方地区
3.194256508,南方地区
3.397942456,南方地区
3.36421578,南方地区
2.991425194,南方地区
3.470493226,南方地区
3.350503354,南方地区
3.341970318,南方地区
3.06189264,南方地区
3.375334483,南方地区
3.160435584,南方地区
3.223640826,南方地区
3.428208866,南方地区
3.45436104,南方地区
3.327733838,南方地区
2.95410544,南方地区
3.355061773,南方地区
3.331672942,南方地区
3.27327868,南方地区
2.319854336,南方地区
2.743540355,南方地区
3.16076195,南方地区
3.177229622,南方地区
2.547346962,南方地区
2.766291169,南方地区
2.907582462,南方地区
3.000166897,南方地区
3.037911568,南方地区
3.489348017,南方地区
3.501050996,南方地区
3.502486448,南方地区
3.43997212,南方地区
3.359106131,南方地区
3.510833832,南方地区
3.511475872,南方地区
3.342844901,南方地区
3.513780199,南方地区
3.24526525,南方地区
3.189452365,南方地区
2.966245502,南方地区
3.294778951,南方地区
3.537148616,南方地区
3.486022401,南方地区
3.129630588,南方地区
3.217465221,南方地区
2.900402134,南方地区
3.437651759,南方地区
3.367877316,南方地区
3.298947967,南方地区
2.913508031,南方地区
3.201039975,南方地区
3.046322759,南方地区
3.279309716,南方地区
3.339443529,南方地区
3.244527047,南方地区
3.127216964,南方地区
3.035551219,南方地区
2.633209051,南方地区
3.062956318,南方地区
3.430898228,南方地区
3.462793649,南方地区
3.371961165,南方地区
3.016017111,南方地区
3.2218452,南方地区
3.53612122,南方地区
3.452318181,南方地区
3.175002274,南方地区
3.113250806,南方地区
3.445138827,南方地区
3.154985809,南方地区
3.329297067,南方地区
3.385970371,南方地区
2.672926109,南方地区
3.422400693,南方地区
3.421680751,南方地区
3.454784552,南方地区
3.272146862,南方地区
3.541837964,南方地区
3.080698625,南方地区
2.797770981,南方地区
3.428830087,南方地区
2.761794465,南方地区
3.101259095,南方地区
3.273244808,南方地区
3.472595242,南方地区
3.44701047,南方地区
3.41713916,南方地区
3.325839636,南方地区
2.99924198,南方地区
3.002166098,南方地区
3.126904034,南方地区
3.434098678,南方地区
3.519818454,南方地区
2.977643664,南方地区
2.541119377,南方地区
3.36075368,南方地区
3.394911472,南方地区
3.300442657,南方地区
3.044001796,南方地区
3.368111804,南方地区
3.079585636,南方地区
3.403131038,南方地区
3.395247024,南方地区
3.536169742,南方地区
3.508313422,南方地区
3.442308188,南方地区
3.423497872,南方地区
3.282171218,南方地区
3.508318654,南方地区
3.413236083,南方地区
3.173398043,南方地区
3.106315361,南方地区
3.33566782,南方地区
3.450128017,南方地区
3.38961058,南方地区
2.987495166,南方地区
3.398191581,南方地区
3.332240872,南方地区
3.328473302,南方地区
3.373557779,南方地区
3.495632734,南方地区
2.954133115,南方地区
2.713715431,南方地区
2.857781396,南方地区
3.381389962,南方地区
3.487671849,南方地区
3.333815756,南方地区
3.291296016,南方地区
2.84892342,南方地区
3.168207975,南方地区
2.958882025,南方地区
3.114601719,南方地区
2.510770313,南方地区
3.347240785,南方地区
2.251925302,南方地区
2.947384763,南方地区
1.903939716,南方地区
2.543596075,南方地区
2.429118635,南方地区
2.914379303,南方地区
3.264579781,南方地区
2.659246127,南方地区
2.931022459,南方地区
3.270356675,南方地区
2.477776315,南方地区
3.020304193,南方地区
3.385794133,南方地区
3.204456832,南方地区
3.093787718,南方地区
3.40958601,南方地区
3.170331162,南方地区
3.069103609,南方地区
3.191656788,南方地区
3.454917036,南方地区
3.434352363,南方地区
3.336491274,南方地区
3.404483608,南方地区
3.566499077,南方地区
