Entropy,Area
3.050379554,North
3.409840078,North
3.085527763,North
3.11339969,North
3.389986667,North
2.215435467,North
2.870998524,North
3.35061119,North
2.114861842,North
2.490737702,North
3.039037179,North
2.807365977,North
2.793258904,North
2.658700558,North
2.527823759,North
2.848051197,North
2.481734974,North
2.507879553,North
3.143266949,North
2.940282843,North
2.459628471,North
2.309212789,North
2.869556533,North
2.443468731,North
2.378024096,North
2.664009363,North
2.240507634,North
2.82121134,North
2.738089009,North
3.02419297,North
3.429437843,North
3.048588971,North
3.388134303,South
2.771898571,South
2.704289003,South
2.515390975,South
3.362856327,South
2.954163301,South
2.357411989,South
2.866700476,South
3.350027502,South
3.514319714,South
3.160780598,South
3.451538537,South
3.504701448,South
2.674479365,South
3.537732753,South
2.887989514,South
2.758231056,South
3.256952183,South
3.058512144,South
3.08048208,South
3.481172612,South
3.437837488,South
3.484247894,South
3.097206708,South
3.410154467,South
3.348269529,South
2.647365535,South
3.368461119,South
3.25847214,South
3.203503666,South
3.468986179,South
3.536721003,South
3.461255023,South
3.209196899,South
3.259289533,South
3.434640933,South
3.249642385,South
2.747548085,South
3.507450882,South
2.526099046,South
2.813672258,South
2.779067515,South
2.594279789,South
2.950268138,South
2.978991689,South
3.350496423,South
3.100528357,South
3.334928988,South
3.559603377,South
3.363061824,South
3.451719709,South
3.299714161,South
3.449150917,South
3.016825238,South
3.284592262,South
3.021894489,South
3.355021249,South
2.75687366,South
3.447332661,South
2.98715205,South
3.485528031,South
3.24588856,South
3.23532836,South
3.169777485,South
3.317121718,South
3.532008928,South
3.490608757,South
3.076184007,South
3.563115871,South
3.403232135,South
3.362951354,South
2.94111547,South
2.996034536,South
3.435091809,South
3.352496584,South
2.891651167,South
3.413633774,South
3.355418129,South
3.122670004,South
3.149543085,South
3.349885742,South
3.434687934,South
3.367262826,South
3.513586945,South
3.266692028,South
3.494272287,South
3.437876023,South
3.321655901,South
3.141394076,South
3.474390188,South
3.537483411,South
3.445725959,South
3.121986173,South
3.201669488,South
3.380602267,South
3.432618993,South
3.436715981,South
3.450084745,South
3.480167454,South
3.388171115,South
3.385178236,South
3.43382148,South
3.46153158,South
3.509058089,South
3.512179041,South
3.44307631,South
3.508029947,South
3.014555401,South
3.550639205,South
3.494750886,South
3.141882579,South
3.447558516,South
3.182132612,South
2.870942233,South
3.384614872,South
2.946497585,South
3.381056917,South
3.360683041,South
3.304889302,South
3.382237987,South
3.470884953,South
3.371097089,South
3.423458674,South
3.507277971,South
3.29097812,South
3.34520725,South
3.401313968,South
3.405037201,South
3.472178985,South
3.471781642,South
3.483076312,South
3.433109867,South
3.418813124,South
3.403988397,South
2.729725214,South
3.324253017,South
3.506226739,South
3.519286791,South
3.199966357,South
3.373116743,South
3.450531212,South
3.388586857,South
3.124249299,South
2.754553295,South
2.879815756,South
3.411703729,South
3.254789289,South
3.280022383,South
3.25605261,South
3.058005912,South
3.109290481,South
2.904275959,South
2.892935144,South
2.8430623,South
3.215625511,South
3.468860018,South
3.390344869,South
2.868230617,South
3.341232443,South
3.325830299,South
3.337377311,South
3.483344497,South
3.225701736,South
3.394511499,South
3.455878154,South
3.406914643,South
2.864639837,South
2.571424375,South
2.54183522,South
3.289781046,South
2.863374011,South
2.738916908,South
3.359954935,South
3.277738224,South
3.091565516,South
2.039883605,South
3.194256508,South
3.397942456,South
3.36421578,South
2.991425194,South
3.470493226,South
3.350503354,South
3.341970318,South
3.06189264,South
3.375334483,South
3.160435584,South
3.223640826,South
3.428208866,South
3.45436104,South
3.327733838,South
2.95410544,South
3.355061773,South
3.331672942,South
3.27327868,South
2.319854336,South
2.743540355,South
3.16076195,South
3.177229622,South
2.547346962,South
2.766291169,South
2.907582462,South
3.000166897,South
3.037911568,South
3.489348017,South
3.501050996,South
3.502486448,South
3.43997212,South
3.359106131,South
3.510833832,South
3.511475872,South
3.342844901,South
3.513780199,South
3.24526525,South
3.189452365,South
2.966245502,South
3.294778951,South
3.537148616,South
3.486022401,South
3.129630588,South
3.217465221,South
2.900402134,South
3.437651759,South
3.367877316,South
3.298947967,South
2.913508031,South
3.201039975,South
3.046322759,South
3.279309716,South
3.339443529,South
3.244527047,South
3.127216964,South
3.035551219,South
2.633209051,South
3.062956318,South
3.430898228,South
3.462793649,South
3.371961165,South
3.016017111,South
3.2218452,South
3.53612122,South
3.452318181,South
3.175002274,South
3.113250806,South
3.445138827,South
3.154985809,South
3.329297067,South
3.385970371,South
2.672926109,South
3.422400693,South
3.421680751,South
3.454784552,South
3.272146862,South
3.541837964,South
3.080698625,South
2.797770981,South
3.428830087,South
2.761794465,South
3.101259095,South
3.273244808,South
3.472595242,South
3.44701047,South
3.41713916,South
3.325839636,South
2.99924198,South
3.002166098,South
3.126904034,South
3.434098678,South
3.519818454,South
2.977643664,South
2.541119377,South
3.36075368,South
3.394911472,South
3.300442657,South
3.044001796,South
3.368111804,South
3.079585636,South
3.403131038,South
3.395247024,South
3.536169742,South
3.508313422,South
3.442308188,South
3.423497872,South
3.282171218,South
3.508318654,South
3.413236083,South
3.173398043,South
3.106315361,South
3.33566782,South
3.450128017,South
3.38961058,South
2.987495166,South
3.398191581,South
3.332240872,South
3.328473302,South
3.373557779,South
3.495632734,South
2.954133115,South
2.713715431,South
2.857781396,South
3.381389962,South
3.487671849,South
3.333815756,South
3.291296016,South
2.84892342,South
3.168207975,South
2.958882025,South
3.114601719,South
2.510770313,South
3.347240785,South
2.251925302,South
2.947384763,South
1.903939716,South
2.543596075,South
2.429118635,South
2.914379303,South
3.264579781,South
2.659246127,South
2.931022459,South
3.270356675,South
2.477776315,South
3.020304193,South
3.385794133,South
3.204456832,South
3.093787718,South
3.40958601,South
3.170331162,South
3.069103609,South
3.191656788,South
3.454917036,South
3.434352363,South
3.336491274,South
3.404483608,South
3.566499077,South
3.497710672,South
3.213673998,South
3.379636869,South
3.546601142,South
3.442527947,South
3.402256611,South
3.49676082,South
3.270855845,South
3.262729062,South
3.290877234,South
3.365852047,South
3.095445687,South
2.702596666,South
3.456447196,South
3.427709121,South
2.746862738,South
2.872649569,South
3.434689023,South
3.486163558,South
3.535269623,South
3.369320912,South
3.334058644,South
